case_id,source,target_state,x_px,y_px,altitude_m,target_age_ms,link_age_ms,ground_distance_m,slant_distance_m,raw_vx,raw_vy,raw_vz,raw_yaw_rate,clamped_vx,clamped_vy,clamped_vz,clamped_yaw_rate,target_loss_state,would_generate_mavlink_command,coordinate_frame,type_mask,in_memory_mavlink_packets,external_mavlink_writes
center,synthetic,valid,0.000000000,0.000000000,3.000000000,0.000000000,0.000000000,0.000000000,3.000000000,0.500000000,0,0.000000000,0.000000000,0.500000000,0.000000000,0.000000000,0.000000000,TRACKING,SET_POSITION_TARGET_LOCAL_NED,9,1991,8,0
left,synthetic,valid,-240.000000000,0.000000000,3.000000000,0.000000000,0.000000000,1.358490586,3.293250084,0.000000000,0,0.000000000,-1.440000000,0.000000000,0.000000000,0.000000000,-0.600000024,TRACKING,SET_POSITION_TARGET_LOCAL_NED,9,1991,8,0
right,synthetic,valid,240.000000000,0.000000000,3.000000000,0.000000000,0.000000000,1.358490586,3.293250084,0.000000000,0,0.000000000,1.440000000,0.000000000,0.000000000,0.000000000,0.600000024,TRACKING,SET_POSITION_TARGET_LOCAL_NED,9,1991,8,0
up,synthetic,valid,0.000000000,180.000000000,3.000000000,0.000000000,0.000000000,1.018867970,3.168294668,0.584147334,0,0.000000000,0.000000000,0.500000000,0.000000000,0.000000000,0.000000000,TRACKING,SET_POSITION_TARGET_LOCAL_NED,9,1991,8,0
down,synthetic,valid,0.000000000,-180.000000000,3.000000000,0.000000000,0.000000000,1.018867970,3.168294668,0.584147334,0,0.000000000,0.000000000,0.500000000,0.000000000,0.000000000,0.000000000,TRACKING,SET_POSITION_TARGET_LOCAL_NED,9,1991,8,0
top_left,synthetic,valid,-320.000000000,240.000000000,3.000000000,0.000000000,0.000000000,2.264150858,3.758507729,0.000000000,0,0.000000000,-1.920000000,0.000000000,0.000000000,0.000000000,-0.600000024,TRACKING,SET_POSITION_TARGET_LOCAL_NED,9,1991,8,0
top_right,synthetic,valid,320.000000000,240.000000000,3.000000000,0.000000000,0.000000000,2.264150858,3.758507729,0.000000000,0,0.000000000,1.920000000,0.000000000,0.000000000,0.000000000,0.600000024,TRACKING,SET_POSITION_TARGET_LOCAL_NED,9,1991,8,0
bottom_left,synthetic,valid,-320.000000000,-240.000000000,3.000000000,0.000000000,0.000000000,2.264150858,3.758507729,0.000000000,0,0.000000000,-1.920000000,0.000000000,0.000000000,0.000000000,-0.600000024,TRACKING,SET_POSITION_TARGET_LOCAL_NED,9,1991,8,0
bottom_right,synthetic,valid,320.000000000,-240.000000000,3.000000000,0.000000000,0.000000000,2.264150858,3.758507729,0.000000000,0,0.000000000,1.920000000,0.000000000,0.000000000,0.000000000,0.600000024,TRACKING,SET_POSITION_TARGET_LOCAL_NED,9,1991,8,0
target_missing,synthetic,missing,0.000000000,0.000000000,3.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,TARGET_MISSING,SET_POSITION_TARGET_LOCAL_NED,9,1991,8,0
target_stale_yolo,synthetic,yolo_stale,80.000000000,60.000000000,3.000000000,401.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,TARGET_STALE_YOLO,SET_POSITION_TARGET_LOCAL_NED,9,1991,8,0
target_stale_link,synthetic,link_stale,80.000000000,60.000000000,3.000000000,0.000000000,600.000000000,0.566037714,3.052932739,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,TARGET_LINK_STALE,SET_POSITION_TARGET_LOCAL_NED,9,1991,18,0
same_pixel_alt_1m,synthetic,valid,80.000000000,60.000000000,1.000000000,0.000000000,0.000000000,0.188679248,1.017644286,0.000000000,0,0.000000000,0.480000000,0.000000000,0.000000000,0.000000000,0.479999989,TRACKING,SET_POSITION_TARGET_LOCAL_NED,9,1991,8,0
same_pixel_alt_3m,synthetic,valid,80.000000000,60.000000000,3.000000000,0.000000000,0.000000000,0.566037714,3.052932739,0.000000000,0,0.000000000,0.480000000,0.000000000,0.000000000,0.000000000,0.479999989,TRACKING,SET_POSITION_TARGET_LOCAL_NED,9,1991,8,0
same_pixel_alt_5m,synthetic,valid,80.000000000,60.000000000,5.000000000,0.000000000,0.000000000,0.943396211,5.088221550,0.000000000,0,0.000000000,0.480000000,0.000000000,0.000000000,0.000000000,0.479999989,TRACKING,SET_POSITION_TARGET_LOCAL_NED,9,1991,8,0
